close,datetime,high,low,open,symbol,volume
241,110.94,1543384800000,111.4,108.87,109.8,JPM,13977257
242,110.06,1543471200000,110.795,109.635,110.27,JPM,11144347
243,111.19,1543557600000,111.32,109.58,109.85,JPM,18652718
244,112.24,1543816800000,112.89,111.74,112.38,JPM,16033180
245,107.23,1543903200000,111.6,106.73,111.6,JPM,23555940
246,105.19,1544076000000,105.36,102.88,105.01,JPM,27213946
247,103.29,1544162400000,106.9817,102.91,105.16,JPM,19248595
248,101.36,1544421600000,103.49,99.28,102.87,JPM,23636429
249,100.37,1544508000000,103.66,100.21,103.13,JPM,16860677
250,101.02,1544594400000,102.9,100.0603,101.66,JPM,22621487
251,101.12,1544680800000,101.97,100.67,101.55,JPM,17250942
252,100.29,1544767200000,101.94,99.86,99.99,JPM,19879525
253,99.01,1545026400000,100.56,98.435,99.77,JPM,25113534
254,98.54,1545112800000,100.89,98.12,99.42,JPM,20837150
255,97.29,1545199200000,100.58,96.6,98.41,JPM,28767868
256,96.45,1545285600000,98.28,95.69,96.61,JPM,31825218
257,94.17,1545372000000,98.43,93.685,96.68,JPM,41313933
258,92.14,1545631200000,94.22,92.14,92.89,JPM,17009280
259,95.96,1545804000000,95.96,91.11,92.69,JPM,22542900
260,97.04,1545890400000,97.15,93.55,94.82,JPM,20304683
261,96.83,1545976800000,98.32,96.44,97.95,JPM,17963271
262,97.62,1546236000000,98.8085,96.77,97.59,JPM,13237180
263,99.31,1546408800000,99.78,95.94,95.95,JPM,15670850
264,97.11,1546495200000,98.89,96.69,98.64,JPM,16286426
265,100.69,1546581600000,100.93,98.28,99.11,JPM,16935205
266,100.76,1546840800000,101.47,99.7103,100.43,JPM,15430712
267,100.57,1546927200000,101.82,99.545,101.63,JPM,13578777
268,100.4,1547013600000,101.49,99.93,100.81,JPM,14230331
269,100.39,1547100000000,100.73,99.27,100.02,JPM,14376430
270,99.91,1547186400000,100.17,98.95,99.89,JPM,15439850
271,100.94,1547445600000,101.36,98.66,98.87,JPM,21258458
272,101.68,1547532000000,102.47,98.6,98.89,JPM,26504852
273,102.5,1547618400000,103.45,101.8,102.25,JPM,18532952
274,102.92,1547704800000,103.5,101.9208,102.11,JPM,14247564
275,104.59,1547791200000,104.9,102.83,103.77,JPM,16428710
276,102.94,1548136800000,103.59,102.13,103.08,JPM,17083681
277,102.68,1548223200000,103.7,101.965,103.44,JPM,12146678
278,102.74,1548309600000,103.09,101.94,102.13,JPM,11296764
